,total_trials,positive,neutral,sample_drop,reject_thresh
0,214.0,67.0,93.0,25.233644859813086,0.00010559239048468978
1,211.0,35.0,24.0,72.03791469194313,0.00031612172240857956
2,214.0,59.0,67.0,41.12149532710281,9.638560876896581e-05
3,212.0,20.0,21.0,80.66037735849056,7.648821882919659e-05
4,212.0,61.0,74.0,36.32075471698113,0.0002246899618896256
5,213.0,30.0,53.0,61.03286384976525,6.56430292024053e-05
6,213.0,78.0,65.0,32.863849765258216,0.0002303195258186623
7,213.0,63.0,64.0,40.375586854460096,3.618254626808813e-05
8,214.0,54.0,67.0,43.45794392523364,0.00015794379936806305
9,213.0,41.0,44.0,60.093896713615024,4.67452813466661e-05
10,213.0,88.0,79.0,21.5962441314554,0.0002613573849774126
11,213.0,49.0,77.0,40.845070422535215,3.401816414756435e-05
12,213.0,74.0,90.0,23.004694835680752,4.5285431097002684e-05
13,215.0,56.0,72.0,40.46511627906977,5.226684736312767e-05
14,214.0,90.0,80.0,20.560747663551403,5.1589548885635785e-05
15,213.0,73.0,46.0,44.13145539906104,6.802843134650607e-05
16,214.0,54.0,72.0,41.12149532710281,6.168001547585098e-05
17,211.0,86.0,80.0,21.327014218009477,6.435282973333073e-05
18,215.0,37.0,29.0,69.30232558139535,4.5833449746782866e-05
19,214.0,62.0,62.0,42.056074766355145,4.9545321743477015e-05
20,214.0,87.0,74.0,24.766355140186914,0.00025711762194710407
21,213.0,83.0,87.0,20.187793427230048,3.718868311007103e-05
22,215.0,62.0,65.0,40.93023255813954,3.939160834069754e-05
23,213.0,66.0,58.0,41.78403755868545,3.945876429130156e-05
24,240.0,81.0,61.0,40.833333333333336,4.32638791444496e-05
25,240.0,77.0,65.0,40.833333333333336,0.00033960548803457725
26,240.0,46.0,44.0,62.5,0.0006291009452708367
27,240.0,38.0,52.0,62.5,9.467735950275068e-05
28,240.0,76.0,68.0,40.0,0.0001622207092927379
29,240.0,39.0,38.0,67.91666666666667,0.00020941164186433808
30,240.0,65.0,52.0,51.24999999999999,0.00013378587265642662
31,240.0,67.0,62.0,46.25,4.056071504505336e-05
32,240.0,89.0,88.0,26.249999999999996,4.961717056840114e-05
33,240.0,85.0,106.0,20.41666666666667,0.0002981143824130869
34,240.0,25.0,23.0,80.0,3.0251031921830555e-05
35,240.0,23.0,23.0,80.83333333333333,2.3871627388204847e-05
36,240.0,44.0,41.0,64.58333333333333,4.2346423908178604e-05
37,240.0,27.0,17.0,81.66666666666667,0.00019785441241287346
38,240.0,26.0,23.0,79.58333333333334,5.7874315191542186e-05
39,239.0,36.0,45.0,66.10878661087867,0.00010867326754602243
40,240.0,97.0,81.0,25.83333333333333,4.696324323979001e-05
41,240.0,50.0,43.0,61.25000000000001,3.892120881622792e-05
42,240.0,53.0,41.0,60.83333333333334,4.0863903161609e-05
43,240.0,65.0,51.0,51.66666666666666,6.461792465508385e-05
44,240.0,84.0,81.0,31.25,0.00030804182693039775
45,240.0,33.0,15.0,80.0,3.789789785610505e-05
46,240.0,114.0,90.0,15.000000000000002,8.266568244118429e-05
